Namespace(bidirection=True, checkpoint='checkpoint', crf=True, epoch=100, gpu=['1'], seed=1, weighted_tag=False)
word table length: 55004

----------- Epoch: 0 / 100  -----------
Iter  0    loss: tensor([510.6261], device='cuda:0', grad_fn=<AddBackward0>)
Iter  100    loss: tensor([121.8911], device='cuda:0', grad_fn=<DivBackward0>)
Iter  200    loss: tensor([90.7168], device='cuda:0', grad_fn=<DivBackward0>)
Iter  300    loss: tensor([77.9417], device='cuda:0', grad_fn=<DivBackward0>)
Iter  400    loss: tensor([73.5539], device='cuda:0', grad_fn=<DivBackward0>)
Iter  500    loss: tensor([60.7742], device='cuda:0', grad_fn=<DivBackward0>)
Iter  600    loss: tensor([58.8834], device='cuda:0', grad_fn=<DivBackward0>)
Iter  700    loss: tensor([46.1309], device='cuda:0', grad_fn=<DivBackward0>)
Iter  800    loss: tensor([55.7887], device='cuda:0', grad_fn=<DivBackward0>)
Iter  900    loss: tensor([48.5034], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1000    loss: tensor([45.0919], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1100    loss: tensor([43.5777], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1200    loss: tensor([51.3642], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1300    loss: tensor([41.4772], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1400    loss: tensor([34.9162], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1500    loss: tensor([36.1167], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1600    loss: tensor([37.9217], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1700    loss: tensor([42.2534], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1800    loss: tensor([31.9519], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1900    loss: tensor([36.1208], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2000    loss: tensor([35.2813], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2100    loss: tensor([33.4746], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2200    loss: tensor([36.1357], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2300    loss: tensor([40.3496], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2400    loss: tensor([34.1593], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2500    loss: tensor([33.7148], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2600    loss: tensor([28.7867], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2700    loss: tensor([29.4607], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2800    loss: tensor([29.1076], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2900    loss: tensor([31.2747], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3000    loss: tensor([27.2817], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3100    loss: tensor([31.0921], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3200    loss: tensor([32.3988], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3300    loss: tensor([25.0662], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3400    loss: tensor([25.1649], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3500    loss: tensor([24.9739], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3600    loss: tensor([27.6750], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3700    loss: tensor([29.1106], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3800    loss: tensor([27.5351], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3900    loss: tensor([30.5430], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4000    loss: tensor([26.0582], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4100    loss: tensor([30.1097], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4200    loss: tensor([27.0413], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4300    loss: tensor([28.1485], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4400    loss: tensor([18.2139], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4500    loss: tensor([21.8752], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4600    loss: tensor([28.5009], device='cuda:0', grad_fn=<DivBackward0>)
